,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54
Australia,1252233,3065197,0,0,0,0,(1.30+/-0.19)e+06,(2.6+/-0.4)e+06,(3.9+/-0.6)e+06,(5.2+/-0.8)e+06,(6.5+/-1.0)e+06,(7.8+/-1.1)e+06,(9.1+/-1.3)e+06,(1.04+/-0.15)e+07,(1.17+/-0.17)e+07,(1.30+/-0.19)e+07,(1.43+/-0.21)e+07,(1.56+/-0.23)e+07,(1.69+/-0.25)e+07,(1.82+/-0.27)e+07,(1.95+/-0.29)e+07,(2.08+/-0.31)e+07,(2.21+/-0.33)e+07,(2.34+/-0.34)e+07,(2.5+/-0.4)e+07,(2.6+/-0.4)e+07,(2.7+/-0.4)e+07,(2.9+/-0.4)e+07,(3.0+/-0.4)e+07,(3.1+/-0.5)e+07,(3.3+/-0.5)e+07,(3.4+/-0.5)e+07,(3.5+/-0.5)e+07,(3.6+/-0.5)e+07,(3.8+/-0.6)e+07,(3.9+/-0.6)e+07,(4.0+/-0.6)e+07,(4.2+/-0.6)e+07,(4.3+/-0.6)e+07,(4.4+/-0.7)e+07,(4.6+/-0.7)e+07,(4.7+/-0.7)e+07,(4.8+/-0.7)e+07,(4.9+/-0.7)e+07,(5.1+/-0.7)e+07,(5.2+/-0.8)e+07,(5.3+/-0.8)e+07,(5.5+/-0.8)e+07,(5.6+/-0.8)e+07,(5.7+/-0.8)e+07,(5.9+/-0.9)e+07,(6.0+/-0.9)e+07,(6.1+/-0.9)e+07,(6.2+/-0.9)e+07,(6.4+/-0.9)e+07
Austria,406402,994600,0,0,0,0,0,(1.10+/-0.16)e+06,(2.20+/-0.32)e+06,(3.3+/-0.5)e+06,(4.4+/-0.6)e+06,(5.5+/-0.8)e+06,(6.6+/-1.0)e+06,(7.7+/-1.1)e+06,(8.8+/-1.3)e+06,(9.9+/-1.5)e+06,(1.10+/-0.16)e+07,(1.21+/-0.18)e+07,(1.32+/-0.19)e+07,(1.43+/-0.21)e+07,(1.54+/-0.23)e+07,(1.65+/-0.24)e+07,(1.76+/-0.26)e+07,(1.87+/-0.28)e+07,(1.98+/-0.29)e+07,(2.09+/-0.31)e+07,(2.20+/-0.32)e+07,(2.31+/-0.34)e+07,(2.4+/-0.4)e+07,(2.5+/-0.4)e+07,(2.6+/-0.4)e+07,(2.8+/-0.4)e+07,(2.9+/-0.4)e+07,(3.0+/-0.4)e+07,(3.1+/-0.5)e+07,(3.2+/-0.5)e+07,(3.3+/-0.5)e+07,(3.4+/-0.5)e+07,(3.5+/-0.5)e+07,(3.6+/-0.5)e+07,(3.7+/-0.6)e+07,(3.9+/-0.6)e+07,(4.0+/-0.6)e+07,(4.1+/-0.6)e+07,(4.2+/-0.6)e+07,(4.3+/-0.6)e+07,(4.4+/-0.6)e+07,(4.5+/-0.7)e+07,(4.6+/-0.7)e+07,(4.7+/-0.7)e+07,(4.8+/-0.7)e+07,(5.0+/-0.7)e+07,(5.1+/-0.7)e+07,(5.2+/-0.8)e+07,(5.3+/-0.8)e+07
Azerbaijan,506530,959882,0,(4.0+/-0.6)e+04,(8.1+/-1.2)e+04,(1.21+/-0.18)e+05,(1.61+/-0.24)e+05,(2.01+/-0.30)e+05,(2.4+/-0.4)e+05,(2.8+/-0.4)e+05,(3.2+/-0.5)e+05,(3.6+/-0.5)e+05,(4.0+/-0.6)e+05,(4.4+/-0.7)e+05,(4.8+/-0.7)e+05,(5.2+/-0.8)e+05,(5.6+/-0.8)e+05,(6.0+/-0.9)e+05,(6.4+/-0.9)e+05,(6.8+/-1.0)e+05,(7.2+/-1.1)e+05,(7.7+/-1.1)e+05,(8.1+/-1.2)e+05,(8.5+/-1.2)e+05,(8.9+/-1.3)e+05,(9.3+/-1.4)e+05,(9.7+/-1.4)e+05,(1.01+/-0.15)e+06,(1.05+/-0.15)e+06,(1.09+/-0.16)e+06,(1.13+/-0.17)e+06,(1.17+/-0.17)e+06,(1.21+/-0.18)e+06,(1.25+/-0.18)e+06,(1.29+/-0.19)e+06,(1.33+/-0.20)e+06,(1.37+/-0.20)e+06,(1.41+/-0.21)e+06,(1.45+/-0.21)e+06,(1.49+/-0.22)e+06,(1.53+/-0.23)e+06,(1.57+/-0.23)e+06,(1.61+/-0.24)e+06,(1.65+/-0.24)e+06,(1.69+/-0.25)e+06,(1.73+/-0.25)e+06,(1.77+/-0.26)e+06,(1.81+/-0.27)e+06,(1.85+/-0.27)e+06,(1.89+/-0.28)e+06,(1.93+/-0.28)e+06,(1.97+/-0.29)e+06,(2.01+/-0.30)e+06,(2.05+/-0.30)e+06,(2.09+/-0.31)e+06
Burundi,131681,354859,0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
Belgium,416422,1013834,0,0,0,0,0,0,0,0,(7.6+/-1.1)e+05,(1.52+/-0.22)e+06,(2.28+/-0.34)e+06,(3.0+/-0.4)e+06,(3.8+/-0.6)e+06,(4.6+/-0.7)e+06,(5.3+/-0.8)e+06,(6.1+/-0.9)e+06,(6.8+/-1.0)e+06,(7.6+/-1.1)e+06,(8.4+/-1.2)e+06,(9.1+/-1.3)e+06,(9.9+/-1.5)e+06,(1.06+/-0.16)e+07,(1.14+/-0.17)e+07,(1.22+/-0.18)e+07,(1.29+/-0.19)e+07,(1.37+/-0.20)e+07,(1.44+/-0.21)e+07,(1.52+/-0.22)e+07,(1.59+/-0.23)e+07,(1.67+/-0.25)e+07,(1.75+/-0.26)e+07,(1.82+/-0.27)e+07,(1.90+/-0.28)e+07,(1.97+/-0.29)e+07,(2.05+/-0.30)e+07,(2.13+/-0.31)e+07,(2.20+/-0.32)e+07,(2.28+/-0.34)e+07,(2.35+/-0.35)e+07,(2.4+/-0.4)e+07,(2.5+/-0.4)e+07,(2.6+/-0.4)e+07,(2.7+/-0.4)e+07,(2.7+/-0.4)e+07,(2.8+/-0.4)e+07,(2.9+/-0.4)e+07,(3.0+/-0.4)e+07,(3.0+/-0.4)e+07,(3.1+/-0.5)e+07,(3.2+/-0.5)e+07,(3.3+/-0.5)e+07,(3.3+/-0.5)e+07,(3.4+/-0.5)e+07
Benin,859152,2164082,0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
Burkina Faso,260028,1074758,0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
Bangladesh,13873723,22932196,0,(9.4+/-1.4)e+05,(1.88+/-0.28)e+06,(2.8+/-0.4)e+06,(3.8+/-0.6)e+06,(4.7+/-0.7)e+06,(5.6+/-0.8)e+06,(6.6+/-1.0)e+06,(7.5+/-1.1)e+06,(8.5+/-1.2)e+06,(9.4+/-1.4)e+06,(1.04+/-0.15)e+07,(1.13+/-0.17)e+07,(1.22+/-0.18)e+07,(1.32+/-0.19)e+07,(1.41+/-0.21)e+07,(1.51+/-0.22)e+07,(1.60+/-0.24)e+07,(1.69+/-0.25)e+07,(1.79+/-0.26)e+07,(1.88+/-0.28)e+07,(1.98+/-0.29)e+07,(2.07+/-0.30)e+07,(2.16+/-0.32)e+07,(2.26+/-0.33)e+07,(2.35+/-0.35)e+07,(2.4+/-0.4)e+07,(2.5+/-0.4)e+07,(2.6+/-0.4)e+07,(2.7+/-0.4)e+07,(2.8+/-0.4)e+07,(2.9+/-0.4)e+07,(3.0+/-0.4)e+07,(3.1+/-0.5)e+07,(3.2+/-0.5)e+07,(3.3+/-0.5)e+07,(3.4+/-0.5)e+07,(3.5+/-0.5)e+07,(3.6+/-0.5)e+07,(3.7+/-0.5)e+07,(3.8+/-0.6)e+07,(3.9+/-0.6)e+07,(4.0+/-0.6)e+07,(4.0+/-0.6)e+07,(4.1+/-0.6)e+07,(4.2+/-0.6)e+07,(4.3+/-0.6)e+07,(4.4+/-0.7)e+07,(4.5+/-0.7)e+07,(4.6+/-0.7)e+07,(4.7+/-0.7)e+07,(4.8+/-0.7)e+07,(4.9+/-0.7)e+07
Bulgaria,299042,727033,0,0,0,0,0,0,(1.24+/-0.18)e+05,(2.5+/-0.4)e+05,(3.7+/-0.5)e+05,(5.0+/-0.7)e+05,(6.2+/-0.9)e+05,(7.5+/-1.1)e+05,(8.7+/-1.3)e+05,(1.00+/-0.15)e+06,(1.12+/-0.16)e+06,(1.24+/-0.18)e+06,(1.37+/-0.20)e+06,(1.49+/-0.22)e+06,(1.62+/-0.24)e+06,(1.74+/-0.26)e+06,(1.87+/-0.27)e+06,(1.99+/-0.29)e+06,(2.12+/-0.31)e+06,(2.24+/-0.33)e+06,(2.36+/-0.35)e+06,(2.5+/-0.4)e+06,(2.6+/-0.4)e+06,(2.7+/-0.4)e+06,(2.9+/-0.4)e+06,(3.0+/-0.4)e+06,(3.1+/-0.5)e+06,(3.2+/-0.5)e+06,(3.4+/-0.5)e+06,(3.5+/-0.5)e+06,(3.6+/-0.5)e+06,(3.7+/-0.5)e+06,(3.9+/-0.6)e+06,(4.0+/-0.6)e+06,(4.1+/-0.6)e+06,(4.2+/-0.6)e+06,(4.4+/-0.6)e+06,(4.5+/-0.7)e+06,(4.6+/-0.7)e+06,(4.7+/-0.7)e+06,(4.9+/-0.7)e+06,(5.0+/-0.7)e+06,(5.1+/-0.8)e+06,(5.2+/-0.8)e+06,(5.4+/-0.8)e+06,(5.5+/-0.8)e+06,(5.6+/-0.8)e+06,(5.7+/-0.8)e+06,(5.8+/-0.9)e+06
Bahrain,64057,170202,0,0,0,0,0,0,0,(1.13+/-0.17)e+05,(2.26+/-0.33)e+05,(3.4+/-0.5)e+05,(4.5+/-0.7)e+05,(5.7+/-0.8)e+05,(6.8+/-1.0)e+05,(7.9+/-1.2)e+05,(9.1+/-1.3)e+05,(1.02+/-0.15)e+06,(1.13+/-0.17)e+06,(1.25+/-0.18)e+06,(1.36+/-0.20)e+06,(1.47+/-0.22)e+06,(1.59+/-0.23)e+06,(1.70+/-0.25)e+06,(1.81+/-0.27)e+06,(1.93+/-0.28)e+06,(2.04+/-0.30)e+06,(2.15+/-0.32)e+06,(2.26+/-0.33)e+06,(2.38+/-0.35)e+06,(2.5+/-0.4)e+06,(2.6+/-0.4)e+06,(2.7+/-0.4)e+06,(2.8+/-0.4)e+06,(2.9+/-0.4)e+06,(3.1+/-0.5)e+06,(3.2+/-0.5)e+06,(3.3+/-0.5)e+06,(3.4+/-0.5)e+06,(3.5+/-0.5)e+06,(3.6+/-0.5)e+06,(3.7+/-0.6)e+06,(3.9+/-0.6)e+06,(4.0+/-0.6)e+06,(4.1+/-0.6)e+06,(4.2+/-0.6)e+06,(4.3+/-0.6)e+06,(4.4+/-0.7)e+06,(4.5+/-0.7)e+06,(4.6+/-0.7)e+06,(4.8+/-0.7)e+06,(4.9+/-0.7)e+06,(5.0+/-0.7)e+06,(5.1+/-0.8)e+06,(5.2+/-0.8)e+06
Bahamas,21812,58451,0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
Bosnia and Herzegovina,130616,301676,0,0,0,0,0,0,0,0,(3.9+/-0.6)e+04,(7.9+/-1.2)e+04,(1.18+/-0.17)e+05,(1.57+/-0.23)e+05,(1.97+/-0.29)e+05,(2.36+/-0.35)e+05,(2.8+/-0.4)e+05,(3.1+/-0.5)e+05,(3.5+/-0.5)e+05,(3.9+/-0.6)e+05,(4.3+/-0.6)e+05,(4.7+/-0.7)e+05,(5.1+/-0.8)e+05,(5.5+/-0.8)e+05,(5.9+/-0.9)e+05,(6.3+/-0.9)e+05,(6.7+/-1.0)e+05,(7.1+/-1.0)e+05,(7.5+/-1.1)e+05,(7.9+/-1.2)e+05,(8.3+/-1.2)e+05,(8.7+/-1.3)e+05,(9.0+/-1.3)e+05,(9.4+/-1.4)e+05,(9.8+/-1.4)e+05,(1.02+/-0.15)e+06,(1.06+/-0.16)e+06,(1.10+/-0.16)e+06,(1.14+/-0.17)e+06,(1.18+/-0.17)e+06,(1.22+/-0.18)e+06,(1.26+/-0.19)e+06,(1.30+/-0.19)e+06,(1.34+/-0.20)e+06,(1.38+/-0.20)e+06,(1.42+/-0.21)e+06,(1.46+/-0.21)e+06,(1.49+/-0.22)e+06,(1.53+/-0.23)e+06,(1.57+/-0.23)e+06,(1.61+/-0.24)e+06,(1.65+/-0.24)e+06,(1.69+/-0.25)e+06,(1.73+/-0.25)e+06,(1.77+/-0.26)e+06
Belarus,487570,993888,0,0,0,0,0,0,0,(1.86+/-0.27)e+05,(3.7+/-0.5)e+05,(5.6+/-0.8)e+05,(7.4+/-1.1)e+05,(9.3+/-1.4)e+05,(1.12+/-0.16)e+06,(1.30+/-0.19)e+06,(1.49+/-0.22)e+06,(1.68+/-0.25)e+06,(1.86+/-0.27)e+06,(2.05+/-0.30)e+06,(2.23+/-0.33)e+06,(2.4+/-0.4)e+06,(2.6+/-0.4)e+06,(2.8+/-0.4)e+06,(3.0+/-0.4)e+06,(3.2+/-0.5)e+06,(3.4+/-0.5)e+06,(3.5+/-0.5)e+06,(3.7+/-0.5)e+06,(3.9+/-0.6)e+06,(4.1+/-0.6)e+06,(4.3+/-0.6)e+06,(4.5+/-0.7)e+06,(4.7+/-0.7)e+06,(4.8+/-0.7)e+06,(5.0+/-0.7)e+06,(5.2+/-0.8)e+06,(5.4+/-0.8)e+06,(5.6+/-0.8)e+06,(5.8+/-0.8)e+06,(6.0+/-0.9)e+06,(6.1+/-0.9)e+06,(6.3+/-0.9)e+06,(6.5+/-1.0)e+06,(6.7+/-1.0)e+06,(6.9+/-1.0)e+06,(7.1+/-1.0)e+06,(7.3+/-1.1)e+06,(7.4+/-1.1)e+06,(7.6+/-1.1)e+06,(7.8+/-1.2)e+06,(8.0+/-1.2)e+06,(8.2+/-1.2)e+06,(8.4+/-1.2)e+06,(8.6+/-1.3)e+06
Belize,21166,54685,0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0,0.0+/-0
